,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Regional_label,Climate_label
201,64631595,514000,125.7,0.63,0.0,20.48,7400.0,92.6,108.9,29.36,6.46,64.18,2.0,13.87,7.04,0.099,0.441,0.46,0,2
88,767245,214970,3.6,0.21,-2.07,33.26,4000.0,98.8,143.5,2.44,0.15,97.41,2.0,18.28,8.28,0.37,0.203,0.427,4,2
140,9439,102,92.5,39.22,0.0,7.35,3400.0,97.0,222.85000000000002,20.0,0.0,80.0,2.0,17.59,7.1,0.07,0.259,0.618,4,2
163,38536869,312685,123.3,0.16,-0.49,8.51,11100.0,99.8,306.3,45.91,1.12,52.97,3.0,9.85,9.89,0.05,0.311,0.64,3,4
64,1324333,45226,29.3,8.39,-3.16,7.87,12300.0,99.8,333.8,16.04,0.45,83.51,3.0,10.04,13.25,0.04,0.294,0.666,1,4
214,298444215,9631420,31.0,0.21,3.41,6.5,37800.0,97.0,898.0,19.13,0.22,80.65,3.0,14.14,8.26,0.01,0.204,0.787,7,4
145,28287147,147181,192.2,0.0,0.0,66.98,1400.0,45.2,15.9,21.68,0.64,77.68,2.0,30.98,9.31,0.38,0.21,0.41,0,2
151,12525094,1267000,9.9,0.0,-0.67,121.69,800.0,17.6,1.9,3.54,0.01,96.45,1.0,50.73,20.91,0.39,0.17,0.44,9,0
219,84402966,329560,256.1,1.05,-0.45,25.95,2500.0,90.3,187.7,19.97,5.95,74.08,2.0,16.86,6.22,0.209,0.41,0.381,0,2
99,75441,572,131.9,27.97,5.36,5.93,21000.0,99.0,676.0,9.0,0.0,91.0,3.0,11.05,11.19,0.01,0.13,0.86,10,4
147,221736,960,231.0,37.92,-0.41,10.03,11400.0,96.7,365.3,10.0,0.0,90.0,2.0,14.78,6.45,0.01,0.15,0.84,4,2
199,7320815,143100,51.2,0.0,-2.86,110.76,1000.0,99.4,33.5,6.61,0.92,92.47,2.0,32.65,8.25,0.234,0.286,0.48,2,2
148,219246,19060,11.5,11.83,0.0,7.72,15000.0,91.0,252.2,0.38,0.33,99.29,2.0,18.11,5.69,0.15,0.088,0.762,8,2
212,2602713,82880,31.4,1.59,1.03,14.51,23200.0,77.9,475.3,0.6,2.25,97.15,1.0,18.96,4.4,0.04,0.585,0.375,5,0
58,1062777,15007,70.8,4.7,0.0,47.41,500.0,58.6,61.5,4.71,0.67,94.62,2.0,26.99,6.24,0.085,0.231,0.684,0,2
75,4661473,69700,66.9,0.44,-4.7,18.59,2500.0,99.0,146.6,11.44,3.86,84.7,3.0,10.41,9.23,0.172,0.275,0.553,2,4
122,453125,28,16183.0,146.43,4.86,4.39,19400.0,94.5,384.9,0.0,0.0,100.0,2.0,8.48,4.47,0.001,0.072,0.927,0,2
80,56361,2166086,0.0,2.04,-8.37,15.82,20000.0,97.5,448.9,0.0,0.0,100.0,1.0,15.93,7.84,0.01,0.204,0.787,7,0
10,71891,193,372.5,35.49,0.0,5.89,28000.0,97.0,516.1,10.53,0.0,89.47,2.0,11.03,6.68,0.004,0.333,0.663,4,2
113,6368481,236800,26.9,0.0,0.0,85.22,1700.0,66.4,14.1,3.8,0.35,95.85,2.0,35.49,11.55,0.455,0.287,0.258,0,2
209,11810,26,454.2,92.31,0.0,20.03,1100.0,95.0,59.3,0.0,0.0,100.0,2.0,22.18,7.11,0.166,0.272,0.562,8,2
92,9981334,93030,107.3,0.0,0.86,8.57,13900.0,99.4,336.2,50.09,2.06,47.85,3.0,9.72,13.11,0.037,0.312,0.651,3,4
200,37445392,945087,39.6,0.15,-2.06,98.54,600.0,78.2,4.0,4.52,1.08,94.4,2.0,37.71,16.39,0.432,0.172,0.396,9,2
134,201234,374,538.1,49.52,6.78,62.4,2600.0,62.95,49.7,7.58,0.725,90.38,2.0,40.95,7.7,0.276,0.219,0.426,9,2
220,108605,1910,56.9,9.84,-8.94,8.03,17200.0,94.05,652.8,11.76,2.94,85.3,2.0,13.96,6.43,0.01,0.19,0.8,4,2
34,13881427,181040,76.7,0.24,0.0,71.48,1900.0,69.4,2.6,20.96,0.61,78.43,2.0,26.9,9.06,0.35,0.3,0.35,0,2
226,12236805,390580,31.3,0.0,0.0,67.69,1900.0,90.7,26.8,8.32,0.34,91.34,2.0,28.01,21.84,0.179,0.243,0.579,9,2
35,17340702,475440,36.5,0.08,0.0,68.26,1800.0,79.0,5.7,12.81,2.58,84.61,1.5,33.89,13.47,0.448,0.17,0.382,9,1
182,81541,455,179.2,107.91,-5.69,15.53,7800.0,58.0,262.4,2.22,13.33,84.45,2.0,16.03,6.29,0.032,0.304,0.665,9,2
143,2044147,825418,2.5,0.19,0.0,48.98,7200.0,84.0,62.6,0.99,0.0,99.01,1.0,24.32,18.86,0.097,0.315,0.588,9,0
156,165803560,803940,206.2,0.13,-2.77,72.44,2100.0,45.7,31.8,27.87,0.87,71.26,1.0,29.74,8.23,0.216,0.251,0.533,0,0
118,5900754,1759540,3.4,0.1,0.0,24.6,6400.0,82.6,127.1,1.03,0.19,98.78,1.0,26.49,3.48,0.076,0.499,0.425,6,0
4,71201,468,152.1,0.0,6.6,4.05,19000.0,100.0,497.2,2.22,0.0,97.78,3.0,8.71,6.25,0.022,0.245,0.72,10,4
89,8308504,27750,299.4,6.38,-3.4,73.45,1600.0,52.9,16.9,28.3,11.61,60.09,2.0,36.44,12.17,0.28,0.2,0.52,4,2
2,32930091,2381740,13.8,0.04,-0.39,31.0,6000.0,70.0,78.1,3.22,0.25,96.53,1.0,17.14,4.61,0.101,0.6,0.298,6,0
85,65409,78,838.6,64.1,3.84,4.71,20000.0,99.0,842.4,16.91,0.19,82.23,3.0,8.81,10.01,0.03,0.1,0.87,10,4
190,40397842,504782,80.0,0.98,0.99,4.42,22000.0,97.9,453.5,26.07,9.87,64.06,3.0,10.06,9.72,0.04,0.295,0.665,10,4
78,27928,7,3989.7,171.43,0.0,5.13,17500.0,99.0,877.7,0.0,0.0,100.0,3.0,10.74,9.31,0.022,0.245,0.72,10,4
175,117848,389,303.0,21.59,-7.64,14.78,2900.0,96.0,190.9,17.95,17.95,64.1,2.0,16.18,5.98,0.1,0.26,0.64,4,2
154,4610820,323802,14.2,7.77,1.74,3.7,37800.0,100.0,461.7,2.87,0.0,97.13,3.0,11.46,9.4,0.021,0.415,0.564,10,4
96,68688433,1648000,41.7,0.15,-0.84,41.58,7000.0,79.4,276.4,8.72,1.39,89.89,1.0,17.0,5.55,0.116,0.424,0.46,0,0
53,10235455,78866,129.8,0.0,0.97,3.93,15700.0,99.9,314.3,39.8,3.05,57.15,3.0,9.02,10.59,0.034,0.393,0.573,3,4
188,8863338,637657,13.9,0.47,5.37,116.7,500.0,37.8,11.3,1.67,0.04,98.29,1.0,45.13,16.63,0.65,0.1,0.25,9,0
101,58133509,301230,193.0,2.52,2.07,5.94,26700.0,98.6,430.9,27.79,9.53,62.68,3.0,8.72,10.4,0.021,0.291,0.688,10,4
109,23113019,120540,191.8,2.07,0.0,24.04,1300.0,99.0,42.4,20.76,2.49,76.75,3.0,15.54,7.13,0.3,0.34,0.36,0,4
191,20222240,65610,308.2,2.04,-1.31,14.35,3700.0,92.3,61.5,13.86,15.7,70.44,2.0,15.51,6.52,0.178,0.276,0.545,0,2
81,89703,344,260.8,35.17,-13.92,14.62,5000.0,98.0,364.5,5.88,29.41,64.71,2.0,22.08,6.88,0.054,0.18,0.766,4,2
218,25730435,912050,28.2,0.31,-0.04,22.2,4800.0,93.4,140.1,2.95,0.92,96.13,2.0,18.71,4.92,0.04,0.419,0.541,4,2
225,11502010,752614,15.3,0.0,0.0,88.29,800.0,80.6,8.2,7.08,0.03,92.9,2.0,41.0,19.93,0.22,0.29,0.489,9,2
32,47382633,678500,69.8,0.28,-1.8,67.24,1800.0,85.3,10.1,15.19,0.97,83.84,2.0,17.91,9.83,0.564,0.082,0.353,0,2
60,78887007,1001450,78.8,0.24,-0.22,32.59,4000.0,57.7,131.8,2.87,0.48,96.65,1.0,22.94,5.23,0.149,0.357,0.493,6,0
195,9016596,449964,20.0,0.72,1.67,2.77,26800.0,99.0,715.0,6.54,0.01,93.45,3.0,10.27,10.31,0.011,0.282,0.707,10,4
98,4062235,70280,57.8,2.06,4.99,5.39,29600.0,98.0,500.5,15.2,0.03,84.77,3.0,14.45,7.82,0.05,0.46,0.49,10,4
205,10175014,163610,62.2,0.7,-0.57,24.77,6900.0,74.2,123.6,17.86,13.74,68.4,3.0,15.52,5.13,0.132,0.318,0.55,6,4
203,114689,748,153.3,56.02,0.0,12.62,2200.0,98.5,97.7,23.61,43.06,33.33,2.0,25.37,5.28,0.23,0.27,0.5,8,2
65,74777981,1127127,66.3,0.0,0.0,95.32,700.0,42.7,8.2,10.71,0.75,88.54,2.0,37.98,14.86,0.475,0.099,0.426,9,2
48,4075261,51100,79.8,2.52,0.51,9.95,9100.0,96.0,340.7,4.41,5.88,89.71,2.0,18.32,4.36,0.088,0.299,0.614,4,2
5,12127071,1246700,9.7,0.13,0.0,191.19,1900.0,42.0,7.8,2.41,0.24,97.35,2.0,45.11,24.2,0.096,0.658,0.246,9,2
105,5906760,92300,64.0,0.03,6.59,17.35,4300.0,91.3,104.5,2.67,1.83,95.5,1.0,21.25,2.65,0.033,0.287,0.68,5,0
54,5450661,43094,126.5,16.97,2.48,4.56,31100.0,100.0,614.6,54.02,0.19,45.79,3.0,11.13,10.36,0.018,0.246,0.735,10,4
157,20579,458,44.9,331.66,2.85,14.84,9000.0,92.0,325.6,8.7,4.35,86.95,2.0,18.03,6.8,0.062,0.12,0.818,8,2
119,33987,160,212.4,0.0,4.85,4.7,25000.0,100.0,585.5,25.0,0.0,75.0,4.0,10.21,7.18,0.06,0.39,0.55,10,5
112,5213898,198500,26.3,0.0,-2.45,35.64,1600.0,97.0,84.0,7.3,0.35,92.35,2.5,22.8,7.08,0.353,0.208,0.439,2,3
187,552438,28450,19.4,18.67,0.0,21.29,1700.0,95.0,13.4,0.64,2.0,97.36,2.0,30.01,3.92,0.42,0.11,0.47,8,2
72,1424906,267667,5.3,0.33,0.0,53.64,5500.0,63.2,27.4,1.26,0.66,98.08,2.0,36.16,12.25,0.061,0.592,0.348,9,2
40,9944201,1284000,7.7,0.0,-0.11,93.82,1200.0,47.5,1.3,2.86,0.02,97.12,2.0,45.73,16.38,0.335,0.259,0.406,9,2
76,82422299,357021,230.9,0.67,2.18,4.16,27600.0,99.0,667.9,33.85,0.59,65.56,3.0,8.25,10.62,0.009,0.296,0.695,10,4
114,2274735,64589,35.2,0.82,-2.23,9.55,10200.0,99.8,321.4,29.67,0.47,69.86,3.0,9.24,13.66,0.04,0.261,0.699,1,4
13,7961619,86600,91.9,0.0,-4.9,81.74,3400.0,97.0,137.1,19.63,2.71,77.66,1.0,20.74,9.75,0.141,0.457,0.402,2,0
11,20264082,7686850,2.6,0.34,3.98,4.69,29000.0,100.0,565.5,6.55,0.04,93.41,1.0,12.14,7.51,0.038,0.262,0.7,8,0
216,27307134,447400,61.0,0.0,-1.72,71.1,1700.0,99.3,62.9,10.83,0.83,88.34,1.0,26.36,7.84,0.342,0.229,0.43,2,0
168,22303552,237500,93.9,0.09,-0.13,26.43,7000.0,98.4,196.9,40.82,2.25,56.93,3.0,10.7,11.77,0.101,0.35,0.549,3,4
47,21388,240,89.1,50.0,0.0,12.62,5000.0,95.0,289.9,17.39,13.04,69.57,2.0,21.0,5.69,0.151,0.096,0.753,8,2
56,68910,754,91.4,19.63,-13.87,14.15,5400.0,94.0,304.8,6.67,20.0,73.33,2.0,15.27,6.73,0.177,0.328,0.495,4,2
31,13902972,274200,50.7,0.0,0.0,97.57,1100.0,26.6,7.0,14.43,0.19,85.38,2.0,45.62,15.6,0.322,0.196,0.482,9,2
124,18595469,587040,31.7,0.82,0.0,76.83,800.0,68.9,3.6,5.07,1.03,93.91,2.0,41.41,11.11,0.276,0.165,0.559,9,2
19,10379067,30528,340.0,0.22,1.23,4.68,29100.0,98.0,462.6,23.28,0.4,76.32,3.0,10.38,10.27,0.01,0.24,0.749,10,4
127,359008,300,1196.7,214.67,0.0,56.52,3900.0,97.2,90.0,13.33,16.67,70.0,2.0,34.81,7.06,0.2,0.18,0.62,0,2
138,32543,2,16271.5,205.0,7.75,5.43,27000.0,99.0,1035.6,0.0,0.0,100.0,3.0,9.19,12.91,0.17,0.245,0.72,10,4
39,4303356,622984,6.9,0.0,0.0,91.0,1100.0,51.0,2.3,3.1,0.14,96.76,2.0,33.91,18.65,0.55,0.2,0.25,9,2
130,60422,11854,5.1,3.12,-6.04,29.45,1600.0,93.7,91.2,16.67,38.89,44.44,2.0,33.05,4.78,0.317,0.149,0.534,8,2
117,3042004,111370,27.3,0.52,0.0,128.87,1000.0,57.5,2.3,3.95,2.28,93.77,2.0,44.77,23.1,0.769,0.054,0.177,9,2
137,4466706,33843,132.0,0.0,-0.26,40.42,1800.0,99.1,208.1,55.3,10.79,33.91,4.0,15.7,12.64,0.213,0.233,0.555,2,5
67,905949,18270,49.6,6.18,-3.14,12.62,5800.0,93.7,112.6,10.95,4.65,84.4,2.0,22.55,5.65,0.089,0.135,0.776,8,2
57,9183984,48730,188.5,2.64,-3.22,32.38,6000.0,84.7,97.4,22.65,10.33,67.02,2.0,23.22,5.73,0.112,0.306,0.582,4,2
162,89468677,300000,298.2,12.1,-1.5,23.51,4600.0,92.6,38.4,18.95,16.77,64.28,2.0,24.89,5.41,0.144,0.326,0.53,0,2
186,2010347,20273,99.2,0.23,1.12,4.45,19000.0,99.7,406.1,8.6,1.49,89.91,3.0,8.98,10.31,0.028,0.369,0.603,3,4
125,13013926,118480,109.8,0.0,0.0,103.32,600.0,62.7,7.9,23.38,1.49,75.13,2.0,43.13,19.33,0.342,0.158,0.499,9,2
171,7502,413,18.2,14.53,0.0,19.0,2500.0,97.0,293.3,12.9,0.0,87.1,2.0,12.13,6.53,0.276,0.219,0.426,9,2
93,299388,103000,2.9,4.83,2.38,3.31,30900.0,99.9,647.7,0.07,0.0,99.93,3.0,13.64,6.72,0.086,0.15,0.765,10,4
183,6005250,71740,83.7,0.56,0.0,143.64,500.0,31.4,4.0,6.98,0.89,92.13,2.0,45.76,23.03,0.49,0.31,0.21,9,2
217,208869,12200,17.1,20.72,0.0,55.16,2900.0,53.0,32.6,2.46,7.38,90.16,2.0,22.72,7.82,0.26,0.12,0.62,8,2
21,7862944,112620,69.8,0.11,0.0,85.0,1100.0,40.9,9.7,18.08,2.4,79.52,2.0,38.85,12.22,0.316,0.138,0.546,9,2
45,62660551,2345410,26.7,0.0,0.0,94.69,700.0,65.5,0.2,2.96,0.52,96.52,2.0,43.69,13.27,0.55,0.11,0.34,9,2
37,420979,4033,104.4,23.93,-12.07,47.77,1400.0,76.6,169.6,9.68,0.5,89.82,3.0,24.87,6.55,0.121,0.219,0.66,9,4
221,16025,274,58.5,47.08,0.0,12.62,3700.0,50.0,118.6,5.0,25.0,70.0,2.0,22.32,5.69,0.1505,0.17099999999999999,0.644,8,2
103,127463611,377835,337.4,7.87,0.0,3.26,28200.0,99.0,461.2,12.19,0.96,86.85,3.0,9.37,9.16,0.017,0.258,0.725,0,4
169,142893540,17075200,8.4,0.22,1.02,15.39,8900.0,99.6,280.6,7.33,0.11,92.56,4.0,9.95,14.65,0.054,0.371,0.575,2,5
100,6352117,20770,305.8,1.31,0.68,7.03,19800.0,95.4,462.3,16.39,4.17,79.44,3.0,17.97,6.18,0.026,0.317,0.657,5,4
28,23098,153,151.0,52.29,10.01,18.05,16000.0,97.8,506.5,20.0,6.67,73.33,2.0,14.89,4.42,0.018,0.062,0.92,4,2
74,1428757,360,3968.8,11.11,1.6,22.93,600.0,83.0,244.3,28.95,21.05,50.0,3.0,39.45,3.8,0.03,0.283,0.687,5,4
42,1313973713,9596960,136.9,0.15,-0.4,24.18,5000.0,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,0.125,0.473,0.403,0,1
18,10293011,207600,49.6,0.0,2.54,13.37,6100.0,99.6,319.1,29.55,0.6,69.85,4.0,11.16,14.02,0.093,0.316,0.591,2,5
94,1095351995,3287590,333.2,0.21,-0.07,56.29,2900.0,59.5,45.4,54.4,2.74,42.86,2.5,22.01,8.18,0.186,0.276,0.538,0,3
126,24385858,329750,74.0,1.42,0.0,17.7,9000.0,88.7,179.0,5.48,17.61,76.91,2.0,22.86,5.05,0.084,0.48,0.436,0,2
165,3927188,13790,284.8,3.63,-1.46,8.24,16800.0,94.1,283.1,3.95,5.52,90.53,2.0,12.77,7.65,0.01,0.45,0.54,4,2
38,45436,262,173.4,61.07,18.75,8.19,35000.0,98.0,836.3,3.85,0.0,96.15,2.0,12.74,4.89,0.014,0.032,0.954,4,2
178,193413,1001,193.2,20.88,-2.72,43.11,1200.0,79.3,36.2,6.25,48.96,44.79,2.0,40.25,6.47,0.167,0.148,0.684,9,2
86,9690222,245857,39.4,0.13,-3.06,90.37,2100.0,35.9,2.7,3.63,2.58,93.79,2.0,41.76,15.48,0.237,0.362,0.401,9,2
142,19686505,801590,24.6,0.31,0.0,130.79,1200.0,47.8,3.5,5.1,0.3,94.6,2.0,35.18,21.35,0.262,0.348,0.39,9,2
196,7523934,41290,182.2,0.0,4.05,4.39,32700.0,99.0,680.9,10.42,0.61,88.97,3.0,9.71,8.49,0.015,0.34,0.645,10,4
149,4076140,268680,15.2,5.63,4.05,5.85,21600.0,99.0,441.7,5.6,6.99,87.41,3.0,13.76,7.53,0.043,0.273,0.684,8,4
95,245452739,1919440,127.9,2.85,0.0,35.6,3200.0,87.9,52.0,11.32,7.23,81.45,2.0,20.34,6.25,0.134,0.458,0.408,0,2
24,8989046,1098580,8.2,0.0,-1.32,53.11,2400.0,87.2,71.9,2.67,0.19,97.14,1.5,23.3,7.53,0.128,0.352,0.52,4,1
116,2022331,30355,66.6,0.0,-0.74,84.23,3000.0,84.8,23.7,10.87,0.13,89.0,3.0,24.75,28.71,0.163,0.443,0.394,9,4
22,65773,53,1241.0,194.34,2.49,8.53,36000.0,98.0,851.4,20.0,0.0,80.0,2.0,11.4,7.74,0.01,0.1,0.89,7,2
150,5570129,129494,43.0,0.7,-1.22,29.11,2300.0,67.5,39.7,15.94,1.94,82.12,2.0,24.51,4.45,0.165,0.275,0.56,4,2
192,41236378,2505810,16.5,0.03,-0.02,62.5,1900.0,61.1,16.3,6.83,0.18,92.99,2.0,34.53,8.97,0.387,0.203,0.41,9,2
90,7326496,112090,65.4,0.73,-1.99,29.32,2600.0,76.2,67.5,9.55,3.22,87.23,2.0,28.24,5.28,0.139,0.312,0.549,4,2
59,13547510,283560,47.8,0.79,-8.58,23.66,3300.0,92.5,125.6,5.85,4.93,89.22,2.0,22.29,4.23,0.07,0.312,0.618,4,2
129,400214,316,1266.5,62.28,2.07,3.89,17700.0,92.8,505.0,28.13,3.13,68.74,3.0,10.22,8.1,0.03,0.23,0.74,10,4
20,287730,22966,12.5,1.68,0.0,25.69,4900.0,94.1,115.7,2.85,1.71,95.44,2.0,28.84,5.72,0.142,0.152,0.612,4,2
128,11716829,1240000,9.5,0.0,-0.33,116.79,900.0,46.4,6.4,3.82,0.03,96.15,2.0,49.82,16.89,0.45,0.17,0.38,9,2
152,131859731,923768,142.7,0.09,0.26,98.8,900.0,68.0,9.3,31.29,2.96,65.75,1.5,40.43,16.94,0.269,0.487,0.244,9,1
135,107449525,1972550,54.5,0.47,-4.87,20.91,9000.0,92.2,181.6,12.99,1.31,85.7,1.5,20.69,4.74,0.038,0.259,0.702,4,1
136,108004,702,153.9,870.66,-20.99,30.21,2000.0,89.0,114.8,5.71,45.71,48.58,2.0,24.68,4.75,0.289,0.152,0.559,8,2
16,147365352,144000,1023.4,0.4,-0.71,62.6,1900.0,43.1,7.3,62.11,3.07,34.82,2.0,29.8,8.27,0.199,0.198,0.603,0,2
139,2832224,1564116,1.8,0.0,0.0,53.79,1800.0,97.8,55.1,0.77,0.0,99.23,1.0,21.59,6.95,0.206,0.214,0.58,0,0
36,33098932,9984670,3.3,2.02,5.96,4.75,29800.0,97.0,552.2,4.96,0.02,95.02,3.0,10.78,7.8,0.022,0.294,0.684,7,4
51,11382820,110860,102.7,3.37,-1.58,6.33,2900.0,97.0,74.7,33.05,7.6,59.35,2.0,11.89,7.22,0.055,0.261,0.684,4,2
177,29251,61,479.5,0.0,10.98,5.73,34600.0,96.0,704.3,16.67,0.0,83.33,3.0,10.02,8.17,0.022,0.245,0.72,10,4
223,273008,266000,1.0,0.42,-0.39,31.0,6000.0,70.0,123.6,0.02,0.0,99.98,1.0,21.98,5.13,0.132,0.357,0.4,6,0
62,540109,28051,19.3,1.06,0.0,85.13,2700.0,85.7,18.5,4.63,3.57,91.8,2.0,35.59,15.06,0.03,0.906,0.062,9,2
161,28302603,1285220,22.0,0.19,-1.05,31.94,5100.0,90.9,79.5,2.89,0.4,96.71,1.5,20.48,6.23,0.08,0.27,0.65,4,1
115,3874050,10400,372.5,2.16,0.0,24.52,4800.0,87.4,255.6,16.62,13.98,69.4,1.0,18.52,6.21,0.12,0.21,0.67,5,0
